rho,iter,conv,wmax,xerr,xbar
0.1,1,32.839506172839506,6.666666666666669,58.333333333333314,57.2222222222 308.333333333 134.444444444
0.1,2,32.83950617140695,13.333333333101724,58.33333333208088,57.2222222254 308.333333332 134.444444441
0.1,3,32.83950616321132,19.99999999780377,58.33333332388651,57.2222222335 308.333333324 134.444444441
0.1,4,32.8395060915158,26.666666646448714,58.33333324506782,57.2222223125 308.333333245 134.444444439
0.1,5,23.37448564382323,30.851851854063995,45.92592604003295,69.6296295201 295.92592604 134.444444437
0.1,6,22.167339043302015,32.56791337794627,35.55555556192206,81.9752479391 283.580307621 134.444444438
0.1,7,22.222221009024807,34.61729055802436,35.555555584608584,82.2222168732 283.33333871 134.444444415
0.1,8,22.222221039435194,39.11111102245441,35.55555595444963,82.2222184872 283.333337466 134.444444046
0.1,9,22.22222139752839,43.99999989121279,35.555555657643424,82.2222189158 283.333336741 134.444444342
0.1,10,18.710570374599108,47.835393465098015,40.823032132704355,87.4896952126 283.33333692 129.176967867
0.1,11,15.598234087437687,49.87380414484097,49.80794660341272,96.4746128716 283.333333731 120.192053397
0.1,12,15.713055723346681,51.28395935652003,54.04206449323357,100.708721345 283.333343145 115.957935507
0.1,13,15.674778764640795,54.61729280640299,53.869835450403315,100.536500938 283.333334509 116.13016455
0.1,14,15.555555552868153,57.950626169475136,52.34364826348941,99.0103146225 283.333333639 117.656351737
0.1,15,15.555555552820957,61.28395951419607,51.383598419203864,98.0502649625 283.333333455 118.616401581
0.1,16,15.555555552367448,64.6172928521162,51.252293990103794,97.9189606 283.333333388 118.74770601
0.1,17,15.5555555517982,67.95062618686404,51.484774158241535,98.1514407976 283.333333357 118.515225842
0.1,18,15.555555550501765,71.28395952143796,51.68352918859917,98.3501958288 283.333333356 118.316470811
0.1,19,15.555555550721515,74.61729285553093,51.73853917372209,98.4052058187 283.333333352 118.261460826
0.1,20,15.555555551465773,77.95062618923609,51.70896083970902,98.3756274887 283.333333348 118.29103916
0.1,21,15.555555551527261,81.28395952247226,51.67090529172788,98.3375719458 283.333333343 118.329094708
0.1,22,15.555555550220731,84.61729285511278,51.65539437312292,98.3220610339 283.333333337 118.344605627
0.1,23,15.555555551490121,87.95062618769617,51.65773893495705,98.3244055963 283.333333336 118.342261065
0.1,24,15.555553634872998,91.28395923276646,51.66446939234244,98.3311389277 283.333330462 118.335530608
0.1,25,15.555554940390842,94.61729247358444,51.668177761224854,98.3348453381 283.333332421 118.331822239
0.1,26,13.044841597172784,97.4691354815624,46.853503063381524,98.3350729676 278.518430093 123.146496937
0.1,27,11.83799516368012,99.89817444319684,41.01941137754545,96.7290217512 274.290389625 128.980588622
0.1,28,12.21080405388541,102.15230249961552,37.59266232071579,95.0513817533 272.541280567 132.407337679
0.1,29,12.31334610832842,104.40160390801194,37.08295659529321,94.5899425084 272.493014086 132.917043405
0.1,30,12.196231332407237,106.71857049462359,38.28662486795071,95.1169589952 273.169665871 131.713375132
0.1,31,12.032064129934746,109.1075139086702,39.74514555252023,95.8557114013 273.889434149 130.254854447
0.1,32,11.93340259408933,111.53772824825053,40.60183171854547,96.2996883086 274.302143407 129.398168281
0.1,33,11.918437661031957,113.97395110424644,40.72925908056257,96.3670305048 274.362228573 129.270740919
0.1,34,11.952182989034519,116.39526781014239,40.42834360374832,96.2151765287 274.213167072 129.571656396
0.1,35,11.992935143351708,118.7984600781106,40.063714531947255,96.0317918454 274.031922685 129.936285468
0.1,36,12.0167595297641,121.19095616147543,39.84954294679494,95.9245821063 273.924960839 130.150457053
0.1,37,12.020268748412818,123.58184566988221,39.817685712980676,95.9087906215 273.90889509 130.182314287
0.1,38,12.011895271130363,125.97648995919369,39.892914169440616,95.946471268 273.9464429 130.107085831
0.1,39,12.001766866241688,128.37569217204785,39.984071226485185,95.9920490885 273.992022137 130.015928774
0.1,40,11.99582017509392,130.777572681427,40.03761430218486,96.0188091978 274.018805103 129.962385698
0.1,41,11.99493604532677,133.1798517763362,40.04557874105183,96.0227877804 274.022790959 129.954421259
0.1,42,11.997025568755632,135.5811904493456,40.02677166622675,96.0133849236 274.013386741 129.973228334
0.1,43,11.999557527180002,137.98138957385999,40.00398236789141,96.0019911093 274.001991257 129.996017632
0.1,44,12.001044796994515,140.3809194024874,39.99059669438276,95.9952983936 273.995298299 130.009403306
0.1,45,12.00126604336611,142.78034967606317,39.988605534672075,95.994302783 273.99430275 130.011394465
0.1,46,12.00074364056472,145.18001505036608,39.99330735391004,95.9966535928 273.996653759 130.006692646
0.1,47,12.000110563583618,147.57996528324097,39.999004786681525,95.9995024343 273.999502347 130.000995213
0.1,48,11.999738706675053,149.9800828516389,40.002351488150964,96.0011757772 274.001175705 129.997648512
0.1,49,11.999683370381268,152.38022530613804,40.002849346748405,96.001424771 274.001424568 129.997150653
0.1,50,11.999813966700156,154.78030898863176,40.00167392285394,96.0008370633 274.000836851 129.998326077
0.1,51,11.9999722222013,157.18032144844778,40.00024952153777,96.0001248851 274.000124627 129.999750478
0.1,52,12.000065178382874,159.58029207385465,39.99941284558531,95.9997065494 273.999706286 130.000587154
0.1,53,12.000078974792082,161.98025646782793,39.99928832347001,95.9996443358 273.999643976 130.000711677
0.1,54,12.000046323195788,164.38023555063143,39.999582105702245,95.9997912262 273.999790868 130.000417894
0.1,55,12.000006755310427,166.78023243494687,39.99993809530406,95.9999691964 273.999968887 130.000061905
0.1,56,11.999983533926113,169.18023977585088,40.00014710795227,96.0000736392 274.000073458 129.999852892
0.1,57,11.999980079597197,171.5802486690596,40.00017806638442,96.0000890695 274.000088987 129.999821934
0.1,58,11.999988238119496,173.98025388451273,40.00010443997007,96.0000522149 274.000052216 129.99989556
0.1,59,11.99999807888433,176.38025463839642,40.0000151981215,96.0000075817 274.000007607 129.999984802
0.1,60,12.000003912480459,178.7802527451786,39.999962399547655,95.9999812465 273.999981144 130.0000376
0.1,61,12.000004768511916,181.18025045417843,39.99995423817734,95.9999770535 273.999977175 130.000045762
0.1,62,12.000002187670818,183.5802491773741,39.99997219536351,95.9999848574 273.999987328 130.000027805
0.1,63,11.999996003298044,185.98024943711638,39.99998968858742,95.9999869716 274.000002706 130.000010311
0.1,64,11.999998589445397,188.38024996422917,40.000004872275355,95.9999994672 274.000005393 129.999995128
0.1,65,11.810558820921472,190.75183441941087,39.71584893296841,96.0000043809 273.715844552 130.284151067
0.1,66,9.20704070962781,192.51396702761588,33.526606362300214,95.9052802801 267.621326082 136.473393638
0.1,67,6.582530562533833,193.4761059906864,23.479375733408062,93.8579860829 259.621389647 146.520624267
0.1,68,4.0670636917203025,193.73070502582777,11.696883682745437,89.1508933074 252.545990371 158.303116317
0.1,69,1.5034612155770144,193.50280781377666,2.278972120321498,82.2076312325 247.72102788 170.071340887
0.1,70,2.63100938634033,192.9502842264465,9.866296715863655,75.6589391574 244.474764127 179.866296716
0.1,71,4.369167165439568,192.18402169419335,15.736913595470867,71.9257117246 242.33737468 185.736913595
0.1,72,4.801673434942965,191.33389544759922,16.881545253806223,71.6197172121 241.498737534 186.881545254
