rho,iter,conv,bound,wmax,xerr,xbar
0.1,1,4449.382716049382,-115405.55555555555,6.666666666666669,58.333333333333314,57.2222222222 308.333333333 134.444444444
0.1,2,4449.382715055846,-114960.61728395062,13.333333332690069,58.33333333460348,57.2222222234 308.333333335 134.444444442
0.1,3,4449.38271496551,-114515.67901239534,19.999999998640323,58.33333333448661,57.2222222235 308.333333334 134.444444442
0.1,4,4449.382715053062,-114070.7407408446,26.666666664696887,58.33333333528549,57.2222222231 308.333333335 134.444444442
0.1,5,4449.382715119364,-113625.80246928948,33.33333333083935,58.33333333599194,57.2222222227 308.333333336 134.444444441
0.1,6,2004.9382708630997,-113366.97530876215,34.99999999925052,35.55555555996585,82.2222222115 283.333333348 134.44444444
0.1,7,2004.9382704780428,-113166.48148163874,36.666666681185255,35.55555555911593,82.2222221424 283.333333417 134.444444441
0.1,8,2004.938270222039,-112965.9876545346,39.16666667715735,35.55555556094947,82.2222221438 283.333333417 134.444444439
0.1,9,2004.9382700457934,-112765.49382744325,43.999999991950666,35.555555562380135,82.2222221457 283.333333417 134.444444438
0.1,10,2004.9382696271891,-112565.00000036071,48.888888878727585,35.55555556211601,82.2222221256 283.333333437 134.444444438
0.1,11,984.807959814592,-112440.12345550884,50.981481488135344,49.537036948486985,96.203703522 283.333333426 120.462963052
0.1,12,1029.0961707755407,-112362.86008144343,52.500000037513445,55.61728379380892,102.283950417 283.333333377 114.382716206
0.1,13,1011.3858833915419,-112230.198903007,55.83333337266996,55.01028806172063,101.676954704 283.333333357 114.989711938
0.1,14,969.9951670495751,-112107.78920792717,59.16666670695397,52.57887555815623,99.2455422076 283.333333351 117.421124442
0.1,15,967.6924324691408,-112017.00122081526,62.50000004042553,51.160266119293055,97.8269327705 283.333333349 118.839733881
0.1,16,968.3136274536337,-111917.07108399125,65.83333337352387,51.02499673915574,97.6916633926 283.333333347 118.975003261
0.1,17,966.934949002989,-111816.26921116505,69.16666670653058,51.407686581581316,98.0743532377 283.333333344 118.592313418
0.1,18,966.6734680079128,-111720.91002086125,72.50000003944535,51.70790306358654,98.3745697218 283.333333342 118.292096936
0.1,19,966.7184839354907,-111623.8676447874,75.8333333722189,51.78048422989252,98.4471508893 283.333333341 118.21951577
0.1,20,966.6821080434272,-111526.16397364257,79.16666670481848,51.72879949376372,98.395466154 283.33333334 118.271200506
0.1,21,966.6667144904227,-111429.33321010957,82.50000003723541,51.6701492527737,98.3368159137 283.333333339 118.329850747
0.1,22,966.6680181782847,-111332.68898684769,85.83333336883531,51.6482774439842,98.3149441027 283.333333341 118.351722556
0.1,23,966.6673857747205,-111235.90381195518,89.16666670023608,51.65324622173331,98.3199128823 283.333333339 118.346753778
0.1,24,966.6666967467518,-111139.18929900922,92.50000003128068,51.66384935101193,98.330516015 283.333333336 118.336150649
0.1,25,966.6666913046154,-111042.54830113475,95.83333336183715,51.66926178398947,98.3359284574 283.333333327 118.330738216
0.1,26,662.02933692337,-111042.54830113475,98.22916479080872,42.29431678647556,98.3360024734 273.958314313 127.705683214
0.1,27,668.3929424742092,-111042.54830113475,100.35420927289812,36.45968616477188,95.2092413438 271.250444821 133.540313835
0.1,28,673.1232674177687,-110927.46546940572,102.50700312128544,35.312527750314814,93.7845892662 271.527938484 134.68747225
0.1,29,652.9111940816288,-110785.09500519244,104.77318314122824,37.08268457660165,94.420884377 272.6618002 132.917315423
0.1,30,640.531361286706,-110718.41995401986,107.15065818895616,39.426420575763615,95.6516700984 273.774750477 130.573579424
0.1,31,641.1750459192116,-110657.86893088251,109.59495578348718,40.8850779591732,96.4421020138 274.442975945 129.114922041
0.1,32,642.060932224279,-110589.29947466987,112.05253805606866,41.17186755102375,96.5960448251 274.575822726 128.828132449
0.1,33,640.7979986217765,-110519.16506008616,114.48866018868611,40.72932873540725,96.3681074092 274.361221326 129.270671265
0.1,34,640.0308454825007,-110460.54847986216,116.89588370584595,40.14339510218511,96.0711599305 274.072235172 129.856604898
0.1,35,640.0734450766693,-110398.8156706419,119.28489555331133,39.77873073809991,95.8886122633 273.890118475 130.221269262
0.1,36,640.1287438404302,-110331.37807055656,121.67026335947455,39.70703316380613,95.8533551021 273.853678062 130.292966836
0.1,37,640.0498668277253,-110262.7944636964,124.06113958288243,39.81766775952272,95.9089055253 273.908762234 130.18233224
0.1,38,640.0019269293077,-110198.23864928648,126.45934206497843,39.96415113843267,95.9821263174 273.982024821 130.035848862
0.1,39,640.0045891604946,-110134.42346728193,128.86210743361448,40.05531722075966,96.0276635343 274.027653686 129.944682779
