rho,iter,conv,bound,wmax,xerr,xbar
0.1,1,4440.666666666666,-115399.99999999999,6.666666666666669,58.333333333333314,57.3333333333 308.333333333 134.333333333
0.1,2,4440.666665706927,-114961.05555555555,13.33333333272289,58.33333333478873,57.3333333344 308.333333335 134.333333331
0.1,3,4440.666665606908,-114516.55555560361,19.999999998696236,58.33333333462451,57.3333333346 308.333333335 134.333333331
0.1,4,4440.666665764806,-114072.05555565667,26.666666664846556,58.333333335777525,57.3333333339 308.333333336 134.33333333
0.1,5,4440.66666572422,-113627.55555570182,33.333333330979,58.333333335984435,57.3333333339 308.333333336 134.33333333
0.1,6,1990.6666659089765,-113370.55555567489,34.99999999915485,35.66666667124039,82.3333333238 283.333333347 134.333333329
0.1,7,1990.6666655388485,-113170.77777793522,36.666666680646564,35.66666667040457,82.3333332556 283.333333415 134.33333333
0.1,8,1990.6666654268033,-112971.00000021483,39.166666676711706,35.66666667133734,82.3333332572 283.333333414 134.333333329
0.1,9,1990.666665153702,-112771.22222250004,43.79999999207655,35.66666667337935,82.3333332594 283.333333414 134.333333327
0.1,10,1990.6666647518864,-112571.44444479894,48.66666665666796,35.666666673122734,82.3333332401 283.333333433 134.333333327
0.1,11,998.7777816061446,-112429.83333210154,50.90000000562006,48.83333325086076,95.4999998281 283.333333423 121.166666749
0.1,12,1014.1234553266097,-112359.14814729124,52.500000036141756,55.11111100997704,101.777777633 283.333333377 114.88888899
0.1,13,1008.676268961179,-112230.95925915455,55.833333371317195,54.90740738843931,101.574074031 283.333333358 115.092592612
0.1,14,970.7660446541124,-112106.48518444537,59.16666670561936,52.67901268429631,99.3456793338 283.333333351 117.320987316
0.1,15,967.3238974370042,-112016.29753232292,62.500000039117346,51.26131774047414,97.9279843919 283.333333349 118.73868226
0.1,16,968.1437718707812,-111917.03663256486,65.83333337221482,51.05898550055966,97.7256521541 283.333333346 118.941014499
0.1,17,966.9582765480841,-111816.48080647475,69.1666667052051,51.39666190276972,98.0633285589 283.333333344 118.603338097
