param NumServers :=  10 ;
param NumClients :=  50 ;
param Capacity :=  188.0 ;
param FixedCost:=
1 40
2 47
3 59
4 64
5 44
6 55
7 44
8 46
9 70
10 49;


param Revenue:
      1	2	3	4	5	6	7	8	9	10	:=
1	0	13	2	10	10	3	22	20	1	10
2	3	22	20	1	10	19	11	11	16	16
3	3	17	6	23	0	10	10	2	9	5
4	25	12	7	10	23	6	9	14	19	20
5	16	9	20	9	18	19	7	20	14	10
6	18	9	15	7	10	18	7	0	19	24
7	17	1	9	6	4	22	2	2	9	3
8	13	16	14	12	6	8	21	24	13	3
9	10	25	3	16	16	12	19	8	11	5
10	13	1	3	7	14	18	19	17	11	13
11	21	3	21	14	16	24	19	1	14	14
12	17	11	6	23	22	16	0	9	2	10
13	13	2	17	17	21	13	23	23	7	14
14	4	9	20	25	25	3	11	10	0	23
15	23	22	0	3	6	20	8	17	23	13
16	0	10	15	16	10	10	16	20	18	13
17	24	2	17	11	19	10	25	13	14	7
18	21	14	10	17	16	3	15	6	1	7
19	2	23	24	9	22	21	7	22	19	13
20	21	20	1	19	18	23	17	13	16	16
21	17	23	10	18	1	25	10	4	15	17
22	23	3	22	22	3	24	10	11	3	22
23	24	13	2	20	19	25	9	24	5	23
24	12	0	9	15	5	7	10	11	24	13
25	15	12	1	24	2	4	11	15	10	4
26	0	10	17	2	25	5	12	3	20	0
27	10	15	22	20	10	12	24	7	15	23
28	18	4	21	24	22	19	2	24	17	6
29	1	16	8	14	18	19	22	5	13	9
30	16	14	22	21	0	23	11	16	17	22	
31	6	20	23	19	17	6	3	16	19	21
32	8	14	16	11	17	17	12	18	20	22
33	6	22	18	8	20	13	19	19	7	2
34	16	13	14	21	13	14	14	10	19	23
35	13	19	18	23	9	23	2	4	23	8
36	17	19	2	17	5	3	21	18	20	14
37	18	17	11	17	4	4	7	13	22	12
38	3	25	9	3	24	7	15	13	18	15
39	12	12	4	4	11	18	12	1	6	3
40	16	2	13	6	24	1	9	10	19	7
41	2	10	17	11	19	18	23	8	17	10
42	2	19	4	11	17	25	20	21	6	5
43	20	17	13	21	15	11	7	10	21	11
44	8	1	16	22	8	1	17	19	5	6
45	22	20	23	14	13	22	12	21	16	20
46	12	22	17	20	13	23	19	24	22	20
47	24	19	1	18	3	17	4	17	18	22
48	7	2	17	18	9	1	13	22	13	24
49	13	7	11	16	20	8	11	2	25	6
50	11	9	13	1	20	23	24	11	15	10

;

param Demand:
      1	2	3	4	5	6	7	8	9	10	:=
1	0	13	2	10	10	3	22	20	1	10
2	3	22	20	1	10	19	11	11	16	16
3	3	17	6	23	0	10	10	2	9	5
4	25	12	7	10	23	6	9	14	19	20
5	16	9	20	9	18	19	7	20	14	10
6	18	9	15	7	10	18	7	0	19	24
7	17	1	9	6	4	22	2	2	9	3
8	13	16	14	12	6	8	21	24	13	3
9	10	25	3	16	16	12	19	8	11	5
10	13	1	3	7	14	18	19	17	11	13
11	21	3	21	14	16	24	19	1	14	14
12	17	11	6	23	22	16	0	9	2	10
13	13	2	17	17	21	13	23	23	7	14
14	4	9	20	25	25	3	11	10	0	23
15	23	22	0	3	6	20	8	17	23	13
16	0	10	15	16	10	10	16	20	18	13
17	24	2	17	11	19	10	25	13	14	7
18	21	14	10	17	16	3	15	6	1	7
19	2	23	24	9	22	21	7	22	19	13
20	21	20	1	19	18	23	17	13	16	16
21	17	23	10	18	1	25	10	4	15	17
22	23	3	22	22	3	24	10	11	3	22
23	24	13	2	20	19	25	9	24	5	23
24	12	0	9	15	5	7	10	11	24	13
25	15	12	1	24	2	4	11	15	10	4
26	0	10	17	2	25	5	12	3	20	0
27	10	15	22	20	10	12	24	7	15	23
28	18	4	21	24	22	19	2	24	17	6
29	1	16	8	14	18	19	22	5	13	9
30	16	14	22	21	0	23	11	16	17	22	
31	6	20	23	19	17	6	3	16	19	21
32	8	14	16	11	17	17	12	18	20	22
33	6	22	18	8	20	13	19	19	7	2
34	16	13	14	21	13	14	14	10	19	23
35	13	19	18	23	9	23	2	4	23	8
36	17	19	2	17	5	3	21	18	20	14
37	18	17	11	17	4	4	7	13	22	12
38	3	25	9	3	24	7	15	13	18	15
39	12	12	4	4	11	18	12	1	6	3
40	16	2	13	6	24	1	9	10	19	7
41	2	10	17	11	19	18	23	8	17	10
42	2	19	4	11	17	25	20	21	6	5
43	20	17	13	21	15	11	7	10	21	11
44	8	1	16	22	8	1	17	19	5	6
45	22	20	23	14	13	22	12	21	16	20
46	12	22	17	20	13	23	19	24	22	20
47	24	19	1	18	3	17	4	17	18	22
48	7	2	17	18	9	1	13	22	13	24
49	13	7	11	16	20	8	11	2	25	6
50	11	9	13	1	20	23	24	11	15	10

;

param ClientPresent:=
1 0 
2 1 
3 0 
4 1 
5 0 
6 1 
7 0 
8 1 
9 1 
10 1 
11 0 
12 1 
13 1 
14 1 
15 1 
16 1 
17 1 
18 1 
19 0 
20 1 
21 1 
22 0 
23 1 
24 0 
25 1 
26 0 
27 0 
28 1 
29 0 
30 1 
31 0 
32 0 
33 1 
34 1 
35 0 
36 1 
37 1 
38 1 
39 1 
40 0 
41 1 
42 0 
43 1 
44 1 
45 1 
46 1 
47 0 
48 1 
49 1 
50 0 
;

